Date,state,Confirmed,Death,Cured
6/28/2020,Assam,6816,9,4500
6/28/2020,Bihar,8931,59,6843
6/29/2020,Andhra Pradesh,13241,169,5908
6/29/2020,Assam,7206,10,5088
6/29/2020,Bihar,9212,60,7118
6/30/2020,Andhra Pradesh,13891,180,6232
6/30/2020,Assam,7752,11,5333
6/30/2020,Bihar,9640,62,7390
7/2/2020,Andhra Pradesh,15252,193,6988
7/2/2020,Assam,8582,12,5851
7/2/2020,Bihar,10249,70,7946
7/3/2020,Andhra Pradesh,16097,198,7313
7/3/2020,Assam,9013,12,6106
7/3/2020,Bihar,10471,77,8020
7/5/2020,Andhra Pradesh,17699,218,8008
7/5/2020,Assam,10668,14,6657
7/5/2020,Bihar,11700,89,8686
7/7/2020,Andhra Pradesh,20019,239,8920
7/7/2020,Assam,12160,14,7882
7/7/2020,Bihar,12125,97,8997
7/8/2020,Andhra Pradesh,21197,252,9745
7/8/2020,Assam,12522,14,8329
7/8/2020,Bihar,12570,104,9284
7/9/2020,Andhra Pradesh,22259,264,11101
7/9/2020,Assam,13336,16,8729
7/9/2020,Bihar,13189,107,9554
7/10/2020,Andhra Pradesh,23814,277,12154
7/10/2020,Assam,14032,22,8729
7/10/2020,Bihar,13944,115,9816
7/11/2020,Andhra Pradesh,25422,292,13194
7/11/2020,Assam,14600,27,9147
7/11/2020,Bihar,14575,119,10109
7/12/2020,Andhra Pradesh,27235,309,14393
7/12/2020,Assam,15536,35,9150
7/12/2020,Bihar,15373,131,10685
7/13/2020,Andhra Pradesh,29168,328,15412
7/13/2020,Assam,16071,35,10426
7/13/2020,Bihar,16642,143,11498
7/14/2020,Andhra Pradesh,31103,365,16464
7/14/2020,Assam,16806,36,10894
7/14/2020,Bihar,17959,160,12317
7/15/2020,Andhra Pradesh,33019,408,17467
7/15/2020,Assam,17807,40,11416
7/15/2020,Bihar,19284,174,12849
7/16/2020,Andhra Pradesh,35451,452,18378
7/16/2020,Assam,18666,46,12173
7/16/2020,Bihar,20612,180,13462
7/17/2020,Andhra Pradesh,35451,452,18378
7/17/2020,Assam,18666,46,12173
7/17/2020,Bihar,20612,180,13462
7/19/2020,Andhra Pradesh,44609,586,21763
7/19/2020,Assam,22918,53,15165
7/19/2020,Bihar,25136,208,15536
7/20/2020,Andhra Pradesh,49650,642,22890
7/20/2020,Assam,23999,57,16023
7/20/2020,Bihar,26569,217,16308
7/21/2020,Andhra Pradesh,53724,696,24228
7/21/2020,Assam,25382,58,17095
7/21/2020,Bihar,27646,217,17433
7/22/2020,Andhra Pradesh,58668,758,25574
7/22/2020,Assam,25382,58,18033
7/22/2020,Bihar,28952,217,18515
7/23/2020,Andhra Pradesh,64713,823,32127
7/23/2020,Assam,26772,64,18033
7/23/2020,Bihar,30369,217,19646
7/24/2020,Andhra Pradesh,72711,884,37555
7/24/2020,Assam,28791,70,20699
7/24/2020,Bihar,31980,217,20769
7/25/2020,Andhra Pradesh,80858,933,39935
7/25/2020,Assam,29921,76,21761
7/25/2020,Bihar,33926,220,22343
7/26/2020,Andhra Pradesh,88671,985,43255
7/26/2020,Assam,31086,77,23055
7/26/2020,Bihar,36604,234,24053
7/27/2020,Andhra Pradesh,96298,1041,46301
7/27/2020,Assam,32228,79,24040
7/27/2020,Bihar,39176,244,25815
